,Date,Description,Size,Symbol,Expiration,Strike,Type,Trade Price,Profit/Loss,Stock Price,Year
0,2012-01-03,Open 7DaysBeforeEarnings:Long Calls,1,ARNC,Jan21`12,9.0,Call,0.52, , $9.23,2012
1,2012-01-03,Open 7DaysBeforeEarnings:Long Puts,1,ARNC,Jan21`12,9.0,Put,0.29, , $9.23,2012
2,2012-01-06,Close 1DaysBeforeEarnings:Long Calls,-1,ARNC,Jan21`12,9.0,Call,0.42,-$10, $9.16,2012
3,2012-01-06,Close 1DaysBeforeEarnings:Long Puts,-1,ARNC,Jan21`12,9.0,Put,0.3, $1, $9.16,2012
4,2012-01-06,Open 7DaysBeforeEarnings:Long Puts,1,JPM,Jan13`12,35.0,Put,0.6, , $35.36,2012
5,2012-01-06,Open 7DaysBeforeEarnings:Long Calls,1,JPM,Jan13`12,35.0,Call,0.94, , $35.36,2012
6,2012-01-10,Open 7DaysBeforeEarnings:Long Puts,1,CHKP,Jan21`12,52.5,Put,1.52, , $52.59,2012
7,2012-01-10,Open 7DaysBeforeEarnings:Long Calls,1,CHKP,Jan21`12,52.5,Call,1.6, , $52.59,2012
8,2012-01-11,Open 7DaysBeforeEarnings:Long Puts,1,FAST,Jan21`12,45.0,Put,0.95, , $45.22,2012
9,2012-01-11,Open 7DaysBeforeEarnings:Long Calls,1,FFIV,Jan21`12,110.0,Call,5.95, , $110.72,2012
10,2012-01-11,Open 7DaysBeforeEarnings:Long Puts,1,EBAY,Jan21`12,32.0,Put,1.04, , $31.52,2012
11,2012-01-11,Open 7DaysBeforeEarnings:Long Puts,1,FFIV,Jan21`12,110.0,Put,5.18, , $110.72,2012
12,2012-01-11,Open 7DaysBeforeEarnings:Long Puts,1,XLNX,Jan21`12,33.0,Put,0.86, , $32.85,2012
13,2012-01-11,Open 7DaysBeforeEarnings:Long Calls,1,FAST,Jan21`12,45.0,Call,1.12, , $45.22,2012
14,2012-01-11,Open 7DaysBeforeEarnings:Long Calls,1,EBAY,Jan21`12,32.0,Call,0.57, , $31.52,2012
15,2012-01-11,Open 7DaysBeforeEarnings:Long Calls,1,XLNX,Jan21`12,33.0,Call,0.7, , $32.85,2012
16,2012-01-12,Open 7DaysBeforeEarnings:Long Puts,1,AXP,Jan21`12,50.0,Put,1.07, , $49.65,2012
17,2012-01-12,Open 7DaysBeforeEarnings:Long Calls,1,GOOGL,Jan21`12,630.0,Call,17.6, , $629.64,2012
18,2012-01-12,Open 7DaysBeforeEarnings:Long Calls,1,AXP,Jan21`12,50.0,Call,0.72, , $49.65,2012
19,2012-01-12,Close 1DaysBeforeEarnings:Long Puts,-1,JPM,Jan13`12,35.0,Put,0.08,-$52, $36.85,2012
20,2012-01-12,Close 1DaysBeforeEarnings:Long Calls,-1,JPM,Jan13`12,35.0,Call,1.94, $99, $36.85,2012
21,2012-01-12,Open 7DaysBeforeEarnings:Long Calls,1,UNH,Jan21`12,52.5,Call,1.1, , $52.87,2012
