Date,Description,Size,Symbol,Expiration,Strike,Type,Trade Price,Profit/Loss,Stock Price
26-Jan-12,Open 7DaysBeforeEarnings:Long Calls,1,FISV,Feb18`12,65,Call, $0.52, , $63.26
26-Jan-12,Open 7DaysBeforeEarnings:Long Puts,1,FISV,Feb18`12,65,Put, $2.22, , $63.26
01-Feb-12,Close 1DaysBeforeEarnings:Long Calls,-1,FISV,Feb18`12,65,Call, $0.8, $27, $63.85
01-Feb-12,Close 1DaysBeforeEarnings:Long Puts,-1,FISV,Feb18`12,65,Put, $1.92,-$30, $63.85
24-Apr-12,Open 7DaysBeforeEarnings:Long Calls,1,FISV,May19`12,70,Call, $0.98, , $69.05
24-Apr-12,Open 7DaysBeforeEarnings:Long Puts,1,FISV,May19`12,70,Put, $1.98, , $69.05
30-Apr-12,Close 1DaysBeforeEarnings:Long Calls,-1,FISV,May19`12,70,Call, $1.58, $59, $70.29
30-Apr-12,Close 1DaysBeforeEarnings:Long Puts,-1,FISV,May19`12,70,Put, $1.25,-$73, $70.29
23-Jul-12,Open 7DaysBeforeEarnings:Long Calls,1,FISV,Aug18`12,70,Call, $1.38, , $69.67
23-Jul-12,Open 7DaysBeforeEarnings:Long Puts,1,FISV,Aug18`12,70,Put, $1.7, , $69.67
27-Jul-12,Close 1DaysBeforeEarnings:Long Calls,-1,FISV,Aug18`12,70,Call, $2.82, $143, $72.38
27-Jul-12,Close 1DaysBeforeEarnings:Long Puts,-1,FISV,Aug18`12,70,Put, $0.65,-$105, $72.38
23-Oct-12,Open 7DaysBeforeEarnings:Long Calls,1,FISV,Nov17`12,75,Call, $1.42, , $75.04
23-Oct-12,Open 7DaysBeforeEarnings:Long Puts,1,FISV,Nov17`12,75,Put, $1.38, , $75.04
29-Oct-12,Close 1DaysBeforeEarnings:Long Calls,-1,FISV,Nov17`12,75,Call, $1.45, $2, $75.25
29-Oct-12,Close 1DaysBeforeEarnings:Long Puts,-1,FISV,Nov17`12,75,Put, $1.2,-$18, $75.25
29-Jan-13,Open 7DaysBeforeEarnings:Long Calls,1,FISV,Feb16`13,80,Call, $2.1, , $80.94
29-Jan-13,Open 7DaysBeforeEarnings:Long Puts,1,FISV,Feb16`13,80,Put, $1.05, , $80.94
04-Feb-13,Close 1DaysBeforeEarnings:Long Calls,-1,FISV,Feb16`13,80,Call, $1.52,-$59, $80.09
04-Feb-13,Close 1DaysBeforeEarnings:Long Puts,-1,FISV,Feb16`13,80,Put, $1.25, $20, $80.09
23-Apr-13,Open 7DaysBeforeEarnings:Long Calls,1,FISV,May18`13,90,Call, $1.05, , $88.27
23-Apr-13,Open 7DaysBeforeEarnings:Long Puts,1,FISV,May18`13,90,Put, $2.95, , $88.27
29-Apr-13,Close 1DaysBeforeEarnings:Long Calls,-1,FISV,May18`13,90,Call, $2.2, $114, $90.84
29-Apr-13,Close 1DaysBeforeEarnings:Long Puts,-1,FISV,May18`13,90,Put, $1.48,-$147, $90.84
23-Jul-13,Open 7DaysBeforeEarnings:Long Calls,1,FISV,Aug17`13,90,Call, $2.9, , $91.88
23-Jul-13,Open 7DaysBeforeEarnings:Long Puts,1,FISV,Aug17`13,90,Put, $1.08, , $91.88
29-Jul-13,Close 1DaysBeforeEarnings:Long Calls,-1,FISV,Aug17`13,90,Call, $3.3, $39, $92.4
29-Jul-13,Close 1DaysBeforeEarnings:Long Puts,-1,FISV,Aug17`13,90,Put, $0.9,-$18, $92.4
22-Oct-13,Open 7DaysBeforeEarnings:Long Calls,1,FISV,Nov16`13,105,Call, $3.03, , $106.23
22-Oct-13,Open 7DaysBeforeEarnings:Long Puts,1,FISV,Nov16`13,105,Put, $1.78, , $106.23
28-Oct-13,Close 1DaysBeforeEarnings:Long Calls,-1,FISV,Nov16`13,105,Call, $3.15, $11, $106.66
28-Oct-13,Close 1DaysBeforeEarnings:Long Puts,-1,FISV,Nov16`13,105,Put, $1.48,-$30, $106.66
29-Jan-14,Open 7DaysBeforeEarnings:Long Calls,1,FISV,Feb22`14,55,Call, $2.17, , $56.21
29-Jan-14,Open 7DaysBeforeEarnings:Long Puts,1,FISV,Feb22`14,55,Put, $0.68, , $56.21
04-Feb-14,Close 1DaysBeforeEarnings:Long Calls,-1,FISV,Feb22`14,55,Call, $1.45,-$73, $55.52
04-Feb-14,Close 1DaysBeforeEarnings:Long Puts,-1,FISV,Feb22`14,55,Put, $0.98, $30, $55.52
22-Apr-14,Open 7DaysBeforeEarnings:Long Calls,1,FISV,May17`14,55,Call, $2.7, , $57.08
22-Apr-14,Open 7DaysBeforeEarnings:Long Puts,1,FISV,May17`14,55,Put, $0.5, , $57.08
28-Apr-14,Close 1DaysBeforeEarnings:Long Calls,-1,FISV,May17`14,55,Call, $2.47,-$24, $56.79
28-Apr-14,Close 1DaysBeforeEarnings:Long Puts,-1,FISV,May17`14,55,Put, $0.52, $2, $56.79
22-Jul-14,Open 7DaysBeforeEarnings:Long Calls,1,FISV,Aug16`14,65,Call, $0.4, , $62.66
22-Jul-14,Open 7DaysBeforeEarnings:Long Puts,1,FISV,Aug16`14,65,Put, $2.65, , $62.66
28-Jul-14,Close 1DaysBeforeEarnings:Long Calls,-1,FISV,Aug16`14,65,Call, $0.32,-$9, $62.35
28-Jul-14,Close 1DaysBeforeEarnings:Long Puts,-1,FISV,Aug16`14,65,Put, $2.88, $23, $62.35
21-Oct-14,Open 7DaysBeforeEarnings:Long Calls,1,FISV,Nov22`14,65,Call, $1.15, , $64.55
21-Oct-14,Open 7DaysBeforeEarnings:Long Puts,1,FISV,Nov22`14,65,Put, $1.72, , $64.55
27-Oct-14,Close 1DaysBeforeEarnings:Long Calls,-1,FISV,Nov22`14,65,Call, $2.05, $89, $66.12
27-Oct-14,Close 1DaysBeforeEarnings:Long Puts,-1,FISV,Nov22`14,65,Put, $0.9,-$82, $66.12
27-Jan-15,Open 7DaysBeforeEarnings:Long Calls,1,FISV,Feb20`15,75,Call, $0.65, , $73.24
27-Jan-15,Open 7DaysBeforeEarnings:Long Puts,1,FISV,Feb20`15,75,Put, $2.35, , $73.24
