Date,Description,Size,Symbol,Expiration,Strike,Type,Trade Price,Profit/Loss,Stock Price
16-Feb-12,Open 7DaysBeforeEarnings:Long Calls,1,MNST,Mar17`12,52.5,Call, $2.92, , $52.99
16-Feb-12,Open 7DaysBeforeEarnings:Long Puts,1,MNST,Mar17`12,52.5,Put, $2.42, , $52.99
22-Feb-12,Close 1DaysBeforeEarnings:Long Calls,-1,MNST,Mar17`12,52.5,Call, $4.25, $132, $55.06
22-Feb-12,Close 1DaysBeforeEarnings:Long Puts,-1,MNST,Mar17`12,52.5,Put, $1.72,-$70, $55.06
02-May-12,Open 7DaysBeforeEarnings:Long Calls,1,MNST,May19`12,70,Call, $2.65, , $68.67
02-May-12,Open 7DaysBeforeEarnings:Long Puts,1,MNST,May19`12,70,Put, $3.95, , $68.67
08-May-12,Close 1DaysBeforeEarnings:Long Calls,-1,MNST,May19`12,70,Call, $0.85,-$181, $65.49
08-May-12,Close 1DaysBeforeEarnings:Long Puts,-1,MNST,May19`12,70,Put, $5.35, $140, $65.49
01-Aug-12,Open 7DaysBeforeEarnings:Long Calls,1,MNST,Aug18`12,65,Call, $3.65, , $64.86
01-Aug-12,Open 7DaysBeforeEarnings:Long Puts,1,MNST,Aug18`12,65,Put, $3.7, , $64.86
07-Aug-12,Close 1DaysBeforeEarnings:Long Calls,-1,MNST,Aug18`12,65,Call, $6.1, $244, $68.86
07-Aug-12,Close 1DaysBeforeEarnings:Long Puts,-1,MNST,Aug18`12,65,Put, $2.3,-$140, $68.86
31-Oct-12,Open 7DaysBeforeEarnings:Long Calls,1,MNST,Nov17`12,45,Call, $2.72, , $44.65
31-Oct-12,Open 7DaysBeforeEarnings:Long Puts,1,MNST,Nov17`12,45,Put, $3.1, , $44.65
06-Nov-12,Close 1DaysBeforeEarnings:Long Calls,-1,MNST,Nov17`12,45,Call, $2.7,-$3, $45.09
06-Nov-12,Close 1DaysBeforeEarnings:Long Puts,-1,MNST,Nov17`12,45,Put, $2.75,-$35, $45.09
20-Feb-13,Open 7DaysBeforeEarnings:Long Calls,1,MNST,Mar16`13,52.5,Call, $2.3, , $50.67
20-Feb-13,Open 7DaysBeforeEarnings:Long Puts,1,MNST,Mar16`13,52.5,Put, $4, , $50.67
26-Feb-13,Close 1DaysBeforeEarnings:Long Calls,-1,MNST,Mar16`13,52.5,Call, $1.58,-$73, $48.95
26-Feb-13,Close 1DaysBeforeEarnings:Long Puts,-1,MNST,Mar16`13,52.5,Put, $5.2, $120, $48.95
01-May-13,Open 7DaysBeforeEarnings:Long Calls,1,MNST,May18`13,55,Call, $2.78, , $55.92
01-May-13,Open 7DaysBeforeEarnings:Long Puts,1,MNST,May18`13,55,Put, $1.98, , $55.92
07-May-13,Close 1DaysBeforeEarnings:Long Calls,-1,MNST,May18`13,55,Call, $3.75, $96, $57.15
07-May-13,Close 1DaysBeforeEarnings:Long Puts,-1,MNST,May18`13,55,Put, $1.6,-$38, $57.15
01-Aug-13,Open 7DaysBeforeEarnings:Long Calls,1,MNST,Aug17`13,62.5,Call, $2.55, , $62.52
01-Aug-13,Open 7DaysBeforeEarnings:Long Puts,1,MNST,Aug17`13,62.5,Put, $2.47, , $62.52
07-Aug-13,Close 1DaysBeforeEarnings:Long Calls,-1,MNST,Aug17`13,62.5,Call, $2.33,-$23, $62.46
07-Aug-13,Close 1DaysBeforeEarnings:Long Puts,-1,MNST,Aug17`13,62.5,Put, $2.3,-$17, $62.46
