Date,Description,Size,Symbol,Expiration,Strike,Type,Trade Price,Profit/Loss,Stock Price
13-Feb-12,Open 7DaysBeforeEarnings:Long Calls,1,CTRP,Mar17`12,25,Call, $1.55, , $24.72
13-Feb-12,Open 7DaysBeforeEarnings:Long Puts,1,CTRP,Mar17`12,25,Put, $1.82, , $24.72
17-Feb-12,Close 1DaysBeforeEarnings:Long Calls,-1,CTRP,Mar17`12,25,Call, $1.48,-$8, $24.69
17-Feb-12,Close 1DaysBeforeEarnings:Long Puts,-1,CTRP,Mar17`12,25,Put, $1.8,-$2, $24.69
09-May-12,Open 7DaysBeforeEarnings:Long Calls,1,CTRP,May19`12,20,Call, $0.7, , $19.51
09-May-12,Open 7DaysBeforeEarnings:Long Puts,1,CTRP,May19`12,20,Put, $1.23, , $19.51
15-May-12,Close 1DaysBeforeEarnings:Long Calls,-1,CTRP,May19`12,20,Call, $0.88, $17, $19.61
15-May-12,Close 1DaysBeforeEarnings:Long Puts,-1,CTRP,May19`12,20,Put, $1.25, $2, $19.61
17-Jul-12,Open 7DaysBeforeEarnings:Long Calls,1,CTRP,Aug18`12,14,Call, $0.82, , $13.62
17-Jul-12,Open 7DaysBeforeEarnings:Long Puts,1,CTRP,Aug18`12,14,Put, $1.2, , $13.62
23-Jul-12,Close 1DaysBeforeEarnings:Long Calls,-1,CTRP,Aug18`12,14,Call, $1.23, $40, $14.32
23-Jul-12,Close 1DaysBeforeEarnings:Long Puts,-1,CTRP,Aug18`12,14,Put, $0.9,-$30, $14.32
31-Oct-12,Open 7DaysBeforeEarnings:Long Calls,1,CTRP,Nov17`12,20,Call, $1.05, , $20.01
31-Oct-12,Open 7DaysBeforeEarnings:Long Puts,1,CTRP,Nov17`12,20,Put, $1.1, , $20.01
02-Nov-12,Close 1DaysBeforeEarnings:Long Calls,-1,CTRP,Nov17`12,20,Call, $1.2, $14, $20.34
02-Nov-12,Close 1DaysBeforeEarnings:Long Puts,-1,CTRP,Nov17`12,20,Put, $0.85,-$25, $20.34
24-Jan-13,Open 7DaysBeforeEarnings:Long Calls,1,CTRP,Feb16`13,23,Call, $1.25, , $22.7
24-Jan-13,Open 7DaysBeforeEarnings:Long Puts,1,CTRP,Feb16`13,23,Put, $1.52, , $22.7
25-Jan-13,Close 40%CloseAfterGains:Long Calls,-1,CTRP,Feb16`13,23,Call, $0.3,-$96, $19.64
25-Jan-13,Close 40%CloseAfterGains:Long Puts,-1,CTRP,Feb16`13,23,Put, $3.65, $213, $19.64
01-May-13,Open 7DaysBeforeEarnings:Long Calls,1,CTRP,May18`13,22,Call, $0.88, , $21.77
01-May-13,Open 7DaysBeforeEarnings:Long Puts,1,CTRP,May18`13,22,Put, $1.05, , $21.77
07-May-13,Close 1DaysBeforeEarnings:Long Calls,-1,CTRP,May18`13,22,Call, $1.75, $86, $23.54
07-May-13,Close 1DaysBeforeEarnings:Long Puts,-1,CTRP,May18`13,22,Put, $0.3,-$75, $23.54
24-Jul-13,Open 7DaysBeforeEarnings:Long Calls,1,CTRP,Aug17`13,35,Call, $1.8, , $34.58
24-Jul-13,Open 7DaysBeforeEarnings:Long Puts,1,CTRP,Aug17`13,35,Put, $2.2, , $34.58
30-Jul-13,Close 1DaysBeforeEarnings:Long Calls,-1,CTRP,Aug17`13,35,Call, $3.3, $149, $36.51
30-Jul-13,Close 1DaysBeforeEarnings:Long Puts,-1,CTRP,Aug17`13,35,Put, $1.65,-$55, $36.51
29-Oct-13,Open 7DaysBeforeEarnings:Long Calls,1,CTRP,Nov16`13,57.5,Call, $3.65, , $57.45
29-Oct-13,Open 7DaysBeforeEarnings:Long Puts,1,CTRP,Nov16`13,57.5,Put, $3.75, , $57.45
04-Nov-13,Close 1DaysBeforeEarnings:Long Calls,-1,CTRP,Nov16`13,57.5,Call, $3.7, $4, $58.11
04-Nov-13,Close 1DaysBeforeEarnings:Long Puts,-1,CTRP,Nov16`13,57.5,Put, $3.2,-$55, $58.11
05-Feb-14,Open 7DaysBeforeEarnings:Long Calls,1,CTRP,Feb22`14,39,Call, $2.53, , $38.65
05-Feb-14,Open 7DaysBeforeEarnings:Long Puts,1,CTRP,Feb22`14,39,Put, $2.95, , $38.65
11-Feb-14,Close 1DaysBeforeEarnings:Long Calls,-1,CTRP,Feb22`14,39,Call, $4.1, $156, $41.62
11-Feb-14,Close 1DaysBeforeEarnings:Long Puts,-1,CTRP,Feb22`14,39,Put, $1.4,-$155, $41.62
30-Apr-14,Open 7DaysBeforeEarnings:Long Calls,1,CTRP,May17`14,47,Call, $2.8, , $46.74
30-Apr-14,Open 7DaysBeforeEarnings:Long Puts,1,CTRP,May17`14,47,Put, $3.4, , $46.74
06-May-14,Close 1DaysBeforeEarnings:Long Calls,-1,CTRP,May17`14,47,Call, $3.45, $64, $48.38
06-May-14,Close 1DaysBeforeEarnings:Long Puts,-1,CTRP,May17`14,47,Put, $2.17,-$123, $48.38
23-Jul-14,Open 7DaysBeforeEarnings:Long Calls,1,CTRP,Aug16`14,63,Call, $3.08, , $62.2
23-Jul-14,Open 7DaysBeforeEarnings:Long Puts,1,CTRP,Aug16`14,63,Put, $3.9, , $62.2
29-Jul-14,Close 1DaysBeforeEarnings:Long Calls,-1,CTRP,Aug16`14,63,Call, $4.5, $141, $64.88
29-Jul-14,Close 1DaysBeforeEarnings:Long Puts,-1,CTRP,Aug16`14,63,Put, $2.33,-$157, $64.88
18-Nov-14,Open 7DaysBeforeEarnings:Long Calls,1,CTRP,Nov28`14,60,Call, $2.65, , $59.55
18-Nov-14,Open 7DaysBeforeEarnings:Long Puts,1,CTRP,Nov28`14,60,Put, $2.9, , $59.55
24-Nov-14,Close 1DaysBeforeEarnings:Long Calls,-1,CTRP,Nov28`14,60,Call, $1.68,-$98, $58.91
24-Nov-14,Close 1DaysBeforeEarnings:Long Puts,-1,CTRP,Nov28`14,60,Put, $2.82,-$8, $58.91
12-Mar-15,Open 7DaysBeforeEarnings:Long Calls,1,CTRP,Mar20`15,45.5,Call, $2.15, , $45.23
12-Mar-15,Open 7DaysBeforeEarnings:Long Puts,1,CTRP,Mar20`15,45.5,Put, $2.4, , $45.23
18-Mar-15,Close 1DaysBeforeEarnings:Long Calls,-1,CTRP,Mar20`15,45.5,Call, $2.58, $42, $46.22
18-Mar-15,Close 1DaysBeforeEarnings:Long Puts,-1,CTRP,Mar20`15,45.5,Put, $1.85,-$55, $46.22
06-May-15,Open 7DaysBeforeEarnings:Long Calls,1,CTRP,May15`15,64,Call, $2.75, , $63.33
06-May-15,Open 7DaysBeforeEarnings:Long Puts,1,CTRP,May15`15,64,Put, $2.88, , $63.33
12-May-15,Close 1DaysBeforeEarnings:Long Calls,-1,CTRP,May15`15,64,Call, $3.65, $89, $65.13
12-May-15,Close 1DaysBeforeEarnings:Long Puts,-1,CTRP,May15`15,64,Put, $2.62,-$26, $65.13
27-Jul-15,Open 7DaysBeforeEarnings:Long Calls,1,CTRP,Aug7`15,70,Call, $3.62, , $69.04
27-Jul-15,Open 7DaysBeforeEarnings:Long Puts,1,CTRP,Aug7`15,70,Put, $4.45, , $69.04
31-Jul-15,Close 1DaysBeforeEarnings:Long Calls,-1,CTRP,Aug7`15,70,Call, $5.1, $147, $71.58
31-Jul-15,Close 1DaysBeforeEarnings:Long Puts,-1,CTRP,Aug7`15,70,Put, $3.4,-$105, $71.58
11-Nov-15,Open 7DaysBeforeEarnings:Long Calls,1,CTRP,Nov20`15,100,Call, $5.1, , $99.16
11-Nov-15,Open 7DaysBeforeEarnings:Long Puts,1,CTRP,Nov20`15,100,Put, $5.85, , $99.16
17-Nov-15,Close 1DaysBeforeEarnings:Long Calls,-1,CTRP,Nov20`15,100,Call, $2,-$311, $92.57
17-Nov-15,Close 1DaysBeforeEarnings:Long Puts,-1,CTRP,Nov20`15,100,Put, $9.4, $355, $92.57
09-Mar-16,Open 7DaysBeforeEarnings:Long Calls,1,CTRP,Mar18`16,40,Call, $2.05, , $39.35
09-Mar-16,Open 7DaysBeforeEarnings:Long Puts,1,CTRP,Mar18`16,40,Put, $2.72, , $39.35
15-Mar-16,Close 1DaysBeforeEarnings:Long Calls,-1,CTRP,Mar18`16,40,Call, $2.68, $62, $40.76
15-Mar-16,Close 1DaysBeforeEarnings:Long Puts,-1,CTRP,Mar18`16,40,Put, $1.9,-$82, $40.76
08-Jun-16,Open 7DaysBeforeEarnings:Long Calls,1,CTRP,Jun17`16,42.5,Call, $1.7, , $42
08-Jun-16,Open 7DaysBeforeEarnings:Long Puts,1,CTRP,Jun17`16,42.5,Put, $2.2, , $42
14-Jun-16,Close 1DaysBeforeEarnings:Long Calls,-1,CTRP,Jun17`16,42.5,Call, $1.2,-$51, $40.11
