Date,Description,Size,Symbol,Expiration,Strike,Type,Trade Price,Profit/Loss,Stock Price
16-Feb-12,Open 7DaysBeforeEarnings:Long Calls,1,QRTEA,Mar17`12,18,Call, $0.72, , $18.23
16-Feb-12,Open 7DaysBeforeEarnings:Long Puts,1,QRTEA,Mar17`12,18,Put, $0.48, , $18.23
22-Feb-12,Close 1DaysBeforeEarnings:Long Calls,-1,QRTEA,Mar17`12,18,Call, $0.55,-$17, $17.97
22-Feb-12,Close 1DaysBeforeEarnings:Long Puts,-1,QRTEA,Mar17`12,18,Put, $0.57, $9, $17.97
01-May-12,Open 7DaysBeforeEarnings:Long Calls,1,QRTEA,May19`12,19,Call, $0.3, , $18.67
01-May-12,Open 7DaysBeforeEarnings:Long Puts,1,QRTEA,May19`12,19,Put, $0.55, , $18.67
07-May-12,Close 1DaysBeforeEarnings:Long Calls,-1,QRTEA,May19`12,19,Call, $0.12,-$18, $18.41
07-May-12,Close 1DaysBeforeEarnings:Long Puts,-1,QRTEA,May19`12,19,Put, $0.75, $20, $18.41
01-Aug-12,Open 7DaysBeforeEarnings:Long Calls,1,QRTEA,Aug18`12,19,Call, $0.4, , $18.86
01-Aug-12,Open 7DaysBeforeEarnings:Long Puts,1,QRTEA,Aug18`12,19,Put, $0.55, , $18.86
07-Aug-12,Close 1DaysBeforeEarnings:Long Calls,-1,QRTEA,Aug18`12,19,Call, $0.7, $30, $19.56
07-Aug-12,Close 1DaysBeforeEarnings:Long Puts,-1,QRTEA,Aug18`12,19,Put, $0.2,-$35, $19.56
31-Oct-12,Open 7DaysBeforeEarnings:Long Calls,1,QRTEA,Nov17`12,20,Call, $0.48, , $20
31-Oct-12,Open 7DaysBeforeEarnings:Long Puts,1,QRTEA,Nov17`12,20,Put, $0.48, , $20
05-Nov-12,Close 1DaysBeforeEarnings:Long Calls,-1,QRTEA,Nov17`12,20,Call, $0.9, $42, $20.46
05-Nov-12,Close 1DaysBeforeEarnings:Long Puts,-1,QRTEA,Nov17`12,20,Put, $0.38,-$10, $20.46
20-Feb-13,Open 7DaysBeforeEarnings:Long Calls,1,QRTEA,Mar16`13,22,Call, $0.38, , $21.49
20-Feb-13,Open 7DaysBeforeEarnings:Long Puts,1,QRTEA,Mar16`13,22,Put, $0.88, , $21.49
26-Feb-13,Close 1DaysBeforeEarnings:Long Calls,-1,QRTEA,Mar16`13,22,Call, $0.1,-$28, $20.57
26-Feb-13,Close 1DaysBeforeEarnings:Long Puts,-1,QRTEA,Mar16`13,22,Put, $1.58, $70, $20.57
01-May-13,Open 7DaysBeforeEarnings:Long Calls,1,QRTEA,May18`13,21,Call, $0.62, , $21.38
01-May-13,Open 7DaysBeforeEarnings:Long Puts,1,QRTEA,May18`13,21,Put, $0.22, , $21.38
