Company,Ticker,Index,N,WIN %,Notes
Alcoa Inc.,ARNC,DOW 30,2,0,Known as Arconic in 2012
American Airlines Group,AAL,NASDAQ 100,16,50,Data Starts 2014
Apple Inc.,AAPL,BOTH,24,50,
Adobe Systems Inc.,ADBE,NASDAQ 100,24,25,
Analog Devices,ADI,NASDAQ 100,24,29.2,
"ADP, Inc.",ADP,NASDAQ 100,24,45.8,
"Autodesk, Inc.",ADSK,NASDAQ 100,24,20.8,
"Akamai Technologies, Inc.",AKAM,NASDAQ 100,24,58.3,
Align Technology,ALGN,NASDAQ 100,24,37.5,
Altera Corp.,ALTR,NASDAQ 100,NAN,NAN,Acquired by Intel
Alexion Pharmaceuticals,ALXN,NASDAQ 100,24,45.8,
"Applied Materials, Inc.",AMAT,NASDAQ 100,24,33.3,
Amgen Inc.,AMGN,NASDAQ 100,24,54.2,
"Amazon.com, Inc.",AMZN,NASDAQ 100,24,41.7,
ASML Holding,ASML,NASDAQ 100,24,33.3,
Activision Blizzard,ATVI,NASDAQ 100,23,47.8,
Broadcom Limited,AVGO,NASDAQ 100,24,29.2,
American Express Company,AXP,DOW 30,24,16.7,
The Boeing Company,BA,DOW 30,24,45.8,
Bank of America Corporation,BAC,DOW 30,24,50,
Bed Bath & Beyond Inc.,BBBY,NASDAQ 100,24,62.5,
"Baidu.com, Inc.",BIDU,NASDAQ 100,24,33.3,
"Biogen, Inc.",BIIB,NASDAQ 100,24,37.5,
"BMC Software, Inc.",BMC,NASDAQ 100,NAN,NAN,
BioMarin Pharmaceutical,BMRN,NASDAQ 100,24,25,
Broadcom Corp.,BRCM,NASDAQ 100,24,29.2,
"CA, Inc.",CA,NASDAQ 100,24,41.7,
Caterpillar Inc.,CAT,DOW 30,23,43.5,
Cadence Design Systems,CDNS,NASDAQ 100,22,36.4,
Celgene Corp.,CELG,NASDAQ 100,24,45.8,
Cerner Corp.,CERN,NASDAQ 100,24,50,
Check Point Ltd.,CHKP,NASDAQ 100,24,50,
"C. H. Robinson Worldwide, Inc.",CHRW,NASDAQ 100,24,45.8,
